Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_Production volume_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1,dep_k0
FRA,2002,-0.9199999999999999,0.96,0.4272329835344919,469.98875000000044,0.015388440171437257,-0.43917245073802746,-0.7793747034026534,0.031535018206160004,-0.81666666666667,-0.5760269134496263
FRA,2003,0.06999999999999984,-0.9199999999999999,-0.4286387949413253,191.23549999999886,0.02209178008458812,-2.0616372595529953,-0.5760269134496263,-0.05556595551550991,-0.10833333333334139,-0.0982456856931396
FRA,2004,-0.2799999999999998,0.06999999999999984,-0.3268633596424466,-585.2081299999991,0.02232356915856437,-0.4006219885288971,-0.0982456856931396,-0.175901916093541,-0.12499999999999645,1.0863988073995106
FRA,2005,0.21999999999999975,-0.2799999999999998,-0.3079164125116546,103.20000000000073,0.021179621806371784,2.611578179463393,1.0863988073995106,-0.08030112249246601,0.36666666666666714,-0.4178819844309778
FRA,2006,-0.16000000000000014,0.21999999999999975,-0.43544129585428504,176.14999999999782,0.012480225473865847,-0.198517116608123,-0.4178819844309778,-0.00024267915778097837,0.01666666666666572,0.3626270136922115
FRA,2007,-0.05999999999999961,-0.16000000000000014,0.15966014167779508,165.97500000000218,0.015514309952882499,0.9236008985709319,0.3626270136922115,-0.007922194316820064,-0.041666666666666075,-0.07005932885638433
FRA,2008,-0.5200000000000002,-0.05999999999999961,-0.39103160249935986,436.5249999999978,0.012471665008130906,1.7263217750596809,-0.07005932885638433,-0.06621179361352492,-0.8249999999999993,-1.895520408438644
FRA,2009,0.13000000000000012,-0.5200000000000002,-0.5785096067746427,339.75,0.04119253906312981,-3.7893287699066533,-1.895520408438644,-0.046503087324034076,-0.583333333333333,
FRA,2012,-0.13000000000000012,-0.5399999999999998,-0.1464392748924328,28.150000000001455,0.02645808979740094,0.13706325135429154,0.19769477573781546,-0.03588476378693706,-0.08333333333333215,-2.584719544763275
FRA,2013,0.030000000000000027,-0.13000000000000012,-0.1970978470983077,45.39999999999782,0.017379783661421122,-0.9963708099366784,-2.584719544763275,0.05884745592571605,0.5583333333333336,1.4474975745902035
FRA,2014,0.5399999999999998,0.030000000000000027,0.32886347502306235,-18.924999999999272,-0.002377675890295805,-0.0071917929332698805,1.4474975745902035,-0.024708552089215075,0.5416666666666679,0.24405264734545692
FRA,2015,-0.009999999999999787,0.5399999999999998,-0.24489177264196937,590.7000000000007,0.0014845708972095473,-1.3331851258230643,0.24405264734545692,0.0003974823389170101,-0.03333333333333499,0.06679013239783518
FRA,2016,0.06999999999999984,-0.009999999999999787,0.5678120817007216,65.79999999999927,-0.004316528028222688,1.0933458377535032,0.06679013239783518,0.14775650326243805,0.09166666666666856,-0.2154168887460307
