,Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,Emploi,"Importations de biens et services, volume",M3,Prix à la consommation,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff,tariff_lag1,delta_tariff
1527,Turkiye,TUR,1999,-0.0226987504446843,77.1138785466684,,-3.232970629274911,43.9263995124548,9.10141748926672,-3.0527705542197867,0.418984027455455,,5.34,3.2,2.14
1528,Turkiye,TUR,2000,-3.537604801518525,151.607057424939,21538.0,21.668578019462817,40.300355013443955,14.0994957081306,6.985286976953334,0.624325301685332,,2.38,5.34,-2.96
1529,Turkiye,TUR,2001,1.979864366218822,-29.8719108504129,21530.5,-24.150108660068422,39.6254657941511,21.7696473215743,-5.459408393435844,1.22826860623445,,1.95,2.38,-0.4299999999999999
1530,Turkiye,TUR,2002,-0.3620828230052092,8.65267689880699,21463.25,21.360607618403996,26.184125937571412,31.5581784392106,6.435508848156491,1.51234220640204,,1.84,1.95,-0.1099999999999998
1531,Turkiye,TUR,2003,-2.776721908405713,11.3922519075311,21290.5,23.34249487257157,16.142804184707153,38.3755140677066,5.799093201793313,1.5025415854053,,1.92,1.84,0.0799999999999998
1532,Turkiye,TUR,2004,-3.714711206920565,62.0560202031173,,21.131778280994205,19.683504069013413,41.6751411887356,9.925405521542716,1.42599539916714,,2.18,1.92,0.2600000000000002
1533,Turkiye,TUR,2005,-4.326244505081128,47.5730473577278,20095.75,12.192792699466228,20.268942188276725,45.083817820161,9.111577463345688,1.34129764241797,9.50833333333334,1.5,2.18,-0.6800000000000002
1534,Turkiye,TUR,2006,-5.76759197032035,35.7091964039866,20432.1,7.1823784818718845,25.570990424395653,49.410620974602,7.067626077954384,1.42995441629023,,1.47,1.5,-0.03
1535,Turkiye,TUR,2007,-5.445198093737422,21.1427077341421,20749.125,9.699593944180307,23.707927682799554,53.7371043357574,5.108185138795708,1.29988548348391,9.15833333333333,2.06,1.47,0.5900000000000001
1536,Turkiye,TUR,2008,-5.037866886063493,-22.0307932446176,21192.1,-2.9344979227723256,26.924121601523048,59.3494764983914,0.9201182160487026,1.298778228951,10.025,1.97,2.06,-0.09
1537,Turkiye,TUR,2009,-1.7384892855657077,-0.339931925033409,21270.35,-14.375455275739244,29.855373364956613,63.0593984048711,-4.882694013456528,1.54686925646214,13.0416666666667,2.21,1.97,0.24
1538,Turkiye,TUR,2010,-5.6163078787206375,58.616168843578,22592.3,19.3374590242569,31.1648067687812,68.4613465855671,8.542198478021414,1.49896398189974,11.15,2.35,2.21,0.1400000000000001
1539,Turkiye,TUR,2011,-8.736490240140336,2.12786524220592,24098.625,14.516665250760646,38.80861552050338,72.8920825578346,10.979962531413731,1.67165758187465,9.14166666666666,2.65,2.35,0.2999999999999998
1540,Turkiye,TUR,2012,-4.876695199444766,4.95347755770553,24819.075,0.3402192112023551,36.400368589368384,79.3733330774987,4.807626970527663,1.79160369267206,8.43333333333333,,2.65,
1541,Turkiye,TUR,2013,-5.0954487956114045,22.2353793029535,,10.476244618145374,44.70586360163171,85.3208486034627,8.488256886725464,1.90452909090909,,2.78,,
1542,Turkiye,TUR,2014,-3.426369728357248,-3.4859501304478,25929.35,-0.0056439017691323,50.996408655536904,92.8756451829537,4.600794475930624,2.18900970324362,9.883333333333336,,2.78,
1543,Turkiye,TUR,2015,-2.452068330244636,7.25540028228369,26616.775,2.1336611529964298,58.65139718704592,100.0,5.80557386479459,2.72296580698287,10.3333333333333,3.19,,
1544,Turkiye,TUR,2016,-2.482439913420041,-4.33558372446616,27214.725,2.9238180278776893,62.39041504224427,107.775134153283,3.323665083596894,3.02245681661334,10.9083333333333,2.74,3.19,-0.4499999999999997
1545,Turkiye,TUR,2017,-4.117223770064554,28.3084670583942,28196.075,10.686541157215828,76.1734047453635,119.785930374606,7.825857301125095,3.64857035612335,10.925,3.45,2.74,0.71
1546,Turkiye,TUR,2018,-1.5678371914623694,2.86527188484044,28733.075,-5.911130120322119,89.79267230657187,139.349924208991,3.468153056335104,4.83966475429763,10.891666666666667,2.5,3.45,-0.9500000000000002
1547,Turkiye,TUR,2019,1.8355085196876808,-2.53971136705924,28078.9,-5.355355172521512,,160.49881356691,1.3016236542392876,5.67649483319217,13.741666666666664,3.13,2.5,0.6299999999999999
1548,Turkiye,TUR,2020,-3.992447091464353,14.1850591519787,26804.45,6.842696363532406,,180.206394586539,1.8030624719625843,7.01660732746722,13.1416666666667,2.85,3.13,-0.2799999999999998
1549,Turkiye,TUR,2021,-0.912250930012286,33.1892261436563,28826.5,2.136275976487875,,215.520527531004,11.811094450407785,8.8614759757513,12.0333333333333,3.22,2.85,0.3700000000000001
1550,Turkiye,TUR,2022,-5.024106134263645,97.3316782692254,30724.75,8.254101136195777,,371.360912306285,5.441225114783877,16.5631910490777,10.4833333333333,4.31,3.22,1.0899999999999994
1551,United Kingdom,GBR,1988,-3.532354645894232,-11.3820917421174,25708.0,12.358823106251348,15.704669652625121,,5.421495492538435,0.562152195832681,8.45,,,
1552,United Kingdom,GBR,1989,-4.063607392210447,20.6877347700478,26549.0,7.118333440040977,17.486848890175196,51.0,2.4229742719588376,0.611413518523902,7.075,,,
1553,United Kingdom,GBR,1990,-3.0718731843733145,2.27213006161992,26818.0,0.4090506662482751,17.39742004358196,55.1,0.5680173949519611,0.563030125664294,6.825,,,
1554,United Kingdom,GBR,1991,-1.3138494390400977,10.8284859876728,,-4.5061535485214925,12.950111789556152,59.2,-1.4056871625037433,0.566894323112241,8.6,,,
1555,United Kingdom,GBR,1992,-1.5157776441209403,3.87368251360809,25435.0,6.550670884695095,11.955685592021045,61.9,0.2757876515409671,0.569730331767967,9.85,,,
1556,United Kingdom,GBR,1993,-1.3163039397195715,15.5708878958851,25088.0,3.114921934988492,12.407833531001947,63.5,2.273596600319216,0.66603865776232,10.4,,,
1557,United Kingdom,GBR,1994,-0.4814837122799857,6.16550091371936,25253.0,5.743433720200404,14.039783151492214,64.9,3.418681245520797,0.653265505541989,9.525,,,
1558,United Kingdom,GBR,1995,-0.6667282707992902,6.62334142796561,25489.0,5.333226024962618,15.844559965075684,66.6,2.405679162414435,0.633697695774595,8.65,,,
1559,United Kingdom,GBR,1996,-0.5684050835751399,14.2691768127203,25727.0,9.20219031549457,21.82248967137096,68.5,2.614916034749688,0.640818980481159,8.125,,,
1560,United Kingdom,GBR,1997,-0.2027043239763849,22.5285079303604,26155.0,9.8637085841727,21.48603867502965,70.0,4.879985345389338,0.610501264771778,7.0,,,
1561,United Kingdom,GBR,1998,-0.4175292479886399,20.048962611245,26395.0,7.015011317530356,21.495076435170347,71.3,3.2463148322383195,0.603551144127612,6.275,,,
1562,United Kingdom,GBR,1999,-2.137615634258025,11.5618834793157,,7.440643713502865,19.52875126222414,72.6,2.9444586804041872,0.618086952118502,5.975,,,
1563,United Kingdom,GBR,2000,-1.8521686630296743,1.4071566753581,27483.5,9.11717733076078,22.85053990454545,73.4,4.52438076262652,0.660570959419346,5.45,2.41,,
1564,United Kingdom,GBR,2001,-1.7814212779715997,-12.7524002334507,27711.5,5.939348048629869,26.169650104532614,74.6,2.3910223004350057,0.69428920040175,5.075,3.37,2.41,0.96
1565,United Kingdom,GBR,2002,-1.988789984648172,-17.2539806447618,27944.0,4.333399217772017,24.78213411367341,75.7,1.7090273676961143,0.66654228320575,5.175,2.45,3.37,-0.92
1566,United Kingdom,GBR,2003,-1.828353539241918,-11.9849115127622,28223.0,1.928118457964503,26.31011701147269,76.7,3.218516082186132,0.612278850640196,5.025,2.52,2.45,0.0699999999999998
1567,United Kingdom,GBR,2004,-2.314219341849371,11.6877935915223,28533.25,7.134221207604112,30.954971322509813,77.8,2.326018550220913,0.545747185898468,4.75,2.24,2.52,-0.2799999999999998
1568,United Kingdom,GBR,2005,-1.9909510001432391,14.0454383431821,28853.25,7.212713722205392,33.452399807645065,79.4,2.790654734679503,0.550103007736171,4.8,2.46,2.24,0.2199999999999997
1569,United Kingdom,GBR,2006,-3.1040945009742367,14.8611629380621,29140.75,9.9740282665298,38.36416293386043,81.4,2.1898212882980395,0.543382086230194,5.425,2.3,2.46,-0.1600000000000001
1570,United Kingdom,GBR,2007,-3.712826144255859,8.12956014256186,29378.75,-0.8846058955891665,43.08494924711778,83.3,2.9309113329612617,0.499748115459572,5.325,2.24,2.3,-0.0599999999999996
1571,United Kingdom,GBR,2008,-3.841239981850149,-16.1747386427026,29627.75,-1.33575252290482,48.75837177770115,86.2,-0.0494116545622491,0.545696415775903,5.7,1.72,2.24,-0.5200000000000002
1572,United Kingdom,GBR,2009,-3.053408190944623,-14.9504052474708,29154.25,-7.24746269654794,51.25551255668139,87.9,-4.587408196328893,0.641314034757513,7.625,1.85,1.72,0.1300000000000001
