Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,Emploi,"Importations de biens et services, volume",M3,Prix à la consommation,Production volume,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff_AR,tariff_FN,tariff_selected,tariff_lag1,delta_tariff
Portugal,PRT,2016,1.2340033661182257,-2.83400971246294,4604.425,5.220515461557129,65.92690203113588,50.60739707464184,48.70915295810033,2.004141987402397,0.904281526915114,11.475,2.09,3.29,3.29,3.09,0.20000000000000018
Portugal,PRT,2017,1.3130167351040516,15.1238826133196,4755.425,8.028525679887327,65.92690203113588,51.67646911480891,51.48509948986271,3.3147194052107047,0.887107173889516,9.241666666666667,1.96,3.27,3.27,3.29,-0.020000000000000018
Portugal,PRT,2018,0.7210661107006113,9.55662339337616,4866.05,4.906791269170399,65.92690203113588,51.99573701002161,51.514515966946824,2.9462829424096264,0.847324485146496,7.1499999999999995,1.83,3.11,3.11,3.27,-0.16000000000000014
Portugal,PRT,2019,0.7551356482008873,2.32577319811382,4912.1,5.062938127968561,65.92690203113588,51.84212646407308,50.67447680864009,2.745685193381552,0.893348371188594,6.65,1.84,3.08,3.08,3.11,-0.029999999999999805
Portugal,PRT,2020,-0.6476309568501122,2.21667562818092,4813.05,-11.590375954668158,65.92690203113588,51.6603908311982,43.519997771627914,-8.204631139980734,0.877541570440429,7.108333333333333,1.48,2.8,2.8,3.08,-0.28000000000000025
Portugal,PRT,2021,-0.772432469466092,21.4938435240929,4782.875,12.258843536925538,65.92690203113588,52.953360756124724,51.04738098207034,5.558758409637329,0.845553392731664,6.7333333333333325,1.39,2.85,2.85,2.8,0.050000000000000266
Portugal,PRT,2022,-2.043293325376734,12.2892052417409,4939.925,11.265567087866472,65.92690203113588,60.33498352244558,50.3541158153659,6.985840006928614,0.950882523746784,6.174999999999999,1.33,2.68,2.68,2.85,-0.16999999999999993
Russian Federation,RUS,1992,-2.043293325376734,12.2892052417409,4939.925,11.265567087866472,65.92690203113588,0.0353698742671762,77.076684043081,6.985840006928614,0.9732088156310827,6.174999999999999,6.25,6.25,6.25,,
Russian Federation,RUS,1993,-2.043293325376734,12.2892052417409,4939.925,11.265567087866472,65.92690203113588,437.295192629986,77.076684043081,6.985840006928614,0.9732088156310827,6.174999999999999,6.25,6.25,6.25,6.25,0.0
Russian Federation,RUS,1994,-2.043293325376734,12.2892052417409,4939.925,11.265567087866472,0.697526368524943,154.56380041161367,19.006666771967566,6.985840006928614,2.204072533102933,6.174999999999999,9.21,9.82,9.82,6.25,3.5700000000000003
